country,range_area_ha,pa_area_ha,pct_covered
Cameroon,23490805.39,3109618.506,13.23759852
Central African Republic,12779543.33,1897893.123,14.8510246
Democratic Republic of the Congo,123025114.4,21691766.32,17.63198223
Equatorial Guinea,2460940,417343.2,16.95869
Gabon,25474188.67,5310314.98,20.845865
Nigeria,3055497.495,1713522.109,56.079971
Republic of the Congo,24672619.01,10062231.9,40.78299063
Rwanda,255146.6059,123063.9393,48.23263819
Burundi,617970.5268,50925.88066,8.240826779
Tanzania,1660321.347,400347.6014,24.11265759
Uganda,2025612.954,822778.1669,40.61872557
Indonesia,23556436.56,3569431.974,15.15268222
Malaysia,4915046.262,929984.286,18.92117055
