country,range_area_ha,pa_area_ha,pct_covered
Cameroon,23490805.387942784,2845280.619207953,12.112316168897134
Central African Republic,12779543.329132052,1840348.250654361,14.4007356386447
Democratic Republic of the Congo,123025114.44354203,21088449.714514337,17.14158105838798
Gabon,25474188.66543776,5297196.000758896,20.794365898474695
Nigeria,3055497.495049028,1713522.108977164,56.07997099502349
Republic of the Congo,24672619.00529912,10062231.8977471,40.78299063259543
Rwanda,255146.6058904533,123063.9392718442,48.23263818946565
Burundi,617970.5268477877,50925.880663144126,8.240826779055707
Tanzania,1660321.3469138758,400347.6013543873,24.112657594780305
Uganda,2025612.9539643636,822778.1668895911,40.61872557041647
Indonesia,23556436.55888776,3569431.974474275,15.152682221486256
Malaysia,4915046.262085993,929984.2859725804,18.92117055227647
Equatorial Guinea,2460940.34434599,417343.2433821225,16.958689971537446
