country,range_area_ha,pa_area_ha,pct_covered
Cameroon,23490805.39,4217480.13,17.95374854
Central African Republic,12779543.33,1920391.453,15.02707416
Democratic Republic of the Congo,123025114.4,25489925.42,20.71928609
Gabon,25474188.67,6705006.694,26.32078604
Nigeria,3055497.495,1962169.104,64.21766365
Republic of the Congo,24672619.01,14443422.82,58.54029043
Rwanda,255146.6059,144222.8714,56.52549088
Burundi,617970.5268,51043.14097,8.259801844
Tanzania,1660321.347,477356.6464,28.75085882
Uganda,2025612.954,1289017.954,63.63594542
Indonesia,23556436.56,5066403.248,21.50751127
Malaysia,4915046.262,1005939.7,20.46653574
